Product_Name,Specifications,Price,Rating,No_of_Ratings,No_of_Reviews,Maximum_Power,Engine_Capacity,Brake_Front,Tire_Type,Console_Feature,Range,Maximum_Speed,Charging_Time,Brand,Bike_Type
TVS Zest Booking for Ex-Showroom Price,"Engine Capacity: 109.7 ccBrake Front: DrumTire Type: TubelessUnder Seat Storage: 19 LConsole Feature: Analog SpeedometerDuring 5 years from the date of purchase or during the first 50,000 km of run for the vehicle in the hands of original retail purchaser, whichever is earlier.","₹72,100",4.5,385 Ratings & 40 Reviews,385 Ratings & 40 Reviews,,109.7 cc,Drum,TubelessUnder Seat Storage: 19 L,Analog Speedometer,,,,TVS,Motorcycle
"Ather Rizta Z 161 KM IDC range with Stack Pro Booking for Ex-Showroom Price (with Duo Charger, Pangong...","Range: 161 kmMaximum Speed: 80 kmphCharging Time: 5.15 HrTire Type: TubelessBattery: 5 Years/ 60000 Km or 8 Years/ 80000 Kms (Optional), Vehicle: 3 Years / 30000 Km","₹1,82,550",4.5,"1,657 Ratings & 201 Reviews","1,657 Ratings & 201 Reviews",,,,"TubelessBattery: 5 Years/ 60000 Km or 8 Years/ 80000 Kms (Optional), Vehicle: 3 Years / 30000 Km",,161 km,80 kmph,5.15 Hr,Ather,Motorcycle
"Amo Electric Bikes Brisk LI Booking for Ex-Showroom Price (with Portable Charger, Blue)",Range: 70 kmMaximum Speed: 25 km/hCharging Time: 4 HrTire Type: Tubeless36 Months Warranty,"₹70,000",4.6,302 Ratings & 24 Reviews,302 Ratings & 24 Reviews,,,,Tubeless36 Months Warranty,,70 km,25 km/h,4 Hr,Other,Electric
"Amo Electric Bikes Brisk LI Booking for Ex-Showroom Price (with Portable Charger, White)",Range: 70 kmMaximum Speed: 25 km/hCharging Time: 4 HrTire Type: Tubeless36 Months Warranty,"₹70,000",4.5,385 Ratings & 40 Reviews,385 Ratings & 40 Reviews,,,,Tubeless36 Months Warranty,,70 km,25 km/h,4 Hr,Other,Electric
"Amo Electric Bikes Single Light LA Booking for Ex-Showroom Price (with Portable Charger, Orange)",Range: 70 kmMaximum Speed: 25 km/hCharging Time: 8 HrTire Type: Tubeless1 Year Warranty,"₹48,500",4.6,302 Ratings & 24 Reviews,302 Ratings & 24 Reviews,,,,Tubeless1 Year Warranty,,70 km,25 km/h,8 Hr,Other,Electric
"Ather 450 X 161 KM IDC range with Stack Pro Booking for Ex-Showroom Price (with Duo Charger, Cosmic Bl...",Range: 161 kmMaximum Speed: 90 kmphCharging Time: 5.15 HrTire Type: TubelessAll Ather scooters and chargers come with a standard warranty of 3 years or 30k kms whichever comes earlier.,"₹1,88,657",4.4,"2,269 Ratings & 225 Reviews","2,269 Ratings & 225 Reviews",,,,TubelessAll Ather scooters and chargers come with a standard warranty of 3 years or 30k kms whichever comes earlier.,,161 km,90 kmph,5.15 Hr,Ather,Motorcycle
TVS XL100 Booking for Ex-Showroom Price,"Engine Capacity: 99.7 ccBrake Front: DrumTire Type: TubelessConsole Feature: AnalogDuring 3 Years from the date of purchase or during the first 36,000 km of run for the vehicle in the hands of original retail purchaser, whichever is earlier.","₹60,460",4.5,"1,657 Ratings & 201 Reviews","1,657 Ratings & 201 Reviews",,99.7 cc,Drum,Tubeless,Analog,,,,TVS,Motorcycle
"Amo Electric Bikes Brisk LI Booking for Ex-Showroom Price (with Portable Charger, Black)",Range: 70 kmMaximum Speed: 25 km/hCharging Time: 4 HrTire Type: Tubeless36 Months Warranty,"₹70,000",4.5,"1,657 Ratings & 201 Reviews","1,657 Ratings & 201 Reviews",,,,Tubeless36 Months Warranty,,70 km,25 km/h,4 Hr,Other,Electric
"Amo Electric Bikes Brisk LI Booking for Ex-Showroom Price (with Portable Charger, Green)",Range: 70 kmMaximum Speed: 25 km/hCharging Time: 4 HrTire Type: Tubeless36 Months Warranty,"₹70,000",4.5,"5,258 Ratings & 513 Reviews","5,258 Ratings & 513 Reviews",,,,Tubeless36 Months Warranty,,70 km,25 km/h,4 Hr,Other,Electric
"Amo Electric Bikes Feisty E1 LI Booking for Ex-Showroom Price (with Portable Charger, Red)",Range: 70 kmMaximum Speed: 25 km/hCharging Time: 4 HrTire Type: Tubeless36 Months Warranty,"₹70,000",4.5,385 Ratings & 40 Reviews,385 Ratings & 40 Reviews,,,,Tubeless36 Months Warranty,,70 km,25 km/h,4 Hr,Other,Electric
TVS Zest Booking for Ex-Showroom Price,"Engine Capacity: 109.7 ccBrake Front: DrumTire Type: TubelessUnder Seat Storage: 19 LConsole Feature: Analog SpeedometerWhile the Company has taken every care to maintain quality in the manufacture of the TVS Sport, the above saidwarranty is subject to other terms of warranty: During 5 Years from the date of purchase or during the first 60,000 km of run for the vehicle in the hands of originalretail purchaser, whichever is earlier, the parts of the vehicle covered under warranty which prove to the satisfactionof the Company to have a manufacturing defect will be repaired or replaced free of cost.","₹79,097",5,302 Ratings & 24 Reviews,302 Ratings & 24 Reviews,,109.7 cc,Drum,TubelessUnder Seat Storage: 19 L,"Analog SpeedometerWhile the Company has taken every care to maintain quality in the manufacture of the TVS Sport, the above saidwarranty is subject to other terms of warranty: ",,,,TVS,Motorcycle
"Ather 450 X 161 KM IDC range with Stack Pro Booking for Ex-Showroom Price (with Duo Charger, Still Whi...",Range: 161 kmMaximum Speed: 90 kmphCharging Time: 5.15 HrTire Type: TubelessAll Ather scooters and chargers come with a standard warranty of 3 years or 30k kms whichever comes earlier.,"₹1,88,761",4,476 Ratings & 61 Reviews,476 Ratings & 61 Reviews,,,,TubelessAll Ather scooters and chargers come with a standard warranty of 3 years or 30k kms whichever comes earlier.,,161 km,90 kmph,5.15 Hr,Ather,Motorcycle
"Amo Electric Bikes Brisk LA Booking for Ex-Showroom Price (with Portable Charger, Green)",Range: 70 kmMaximum Speed: 25 km/hCharging Time: 8 HrTire Type: Tubeless12 Months Warranty,"₹59,000",4.4,476 Ratings & 61 Reviews,476 Ratings & 61 Reviews,,,,Tubeless12 Months Warranty,,70 km,25 km/h,8 Hr,Other,Electric
